,name,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews,cover included,standing screen display size,color screen,wattage,fabric type,flash memory size,processor count,connectivity technology,mirror adjustment,pricing,size,material,brand,department,scanner resolution,is assembly required?,colour,speaker amplification type,international shipping,audio sensitivity,hardware interface,audio jack,phone standy time (with data),power source type,color,form factor,domestic shipping,oem part number,gsm frequencies,mfg recommended age,ram,wireless remote,compatible phone models,item weight,usage,manufacturer,batteries,number of component outputs,model,device interface - primary,manufacturer recommended age,signal format,warranty description,display technology,special features,output wattage,thickness,guitar pick thickness,battery type,safety rating,item package quantity,language,rated,rating,phone talk time,batteries required,is discontinued by manufacturer,specification met,width (inches),package dimensions,release date,date first available,national stock number,power source,material type,specific uses for product,max screen resolution,batteries required?,compatible devices,our recommended age,import designation,manufacturer part number,display size,operating system,included components,brand name,ASIN,weight,computer memory type,part number,model number,style,connector type,binding,color name,product dimensions,impedance,shape,connectivity technologies,additional features,height (inches),horsepower,additional product features,os,wireless communication technologies,hardware platform,warranty,finish,number of items,series,batteries included?,voltage,other display features,battery cell type,folding,item dimensions  lxwxh,item model number,best sellers rank
10,"Artix CL750 Foldable Noise Isolating On Ear Headphones Wired with Microphone and Volume Control, Stereo Head Phones Corded with Adjustable Headband for Computer, Laptop and Cell Phone (Turquoise/Gray)",7thContinent,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1H3J68XZ5X5W7&isAmazonFulfilled=1,,,https://www.amazon.com//Isolating-Headphones-Microphone-Adjustable-Turquoise/product-reviews/B087JWTWF9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9 ounces,,ARTIX,,,,,,,,,,,,,,,,,,4.4,,,,,,9.25 x 7.83 x 3.54 inches,,"January 3, 2020",,,,,,,,,,,,,,,B087JWTWF9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#35 in On-Ear Headphones
11,"POWMEE P10 Kids Headphones with Microphone Stereo Headphones for Children Boys Girls,Adjustable 85dB/94dB Volume Control Foldable On-Ear Headphone with Microphone for School/PC/Cellphone(Blue)",Powmee Direct,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2LJMPKWV6VQX2&isAmazonFulfilled=1,"Mpow CH6S Kids Headphones with Microphone Over Ear, On Ear Headphones for Kids with HD Sound Sharing…",https://www.amazon.com/Mpow-Headphones-Over-Ear-Function-Cellphone/dp/B07PD9V78L/ref=pd_bxgy_2/145-1552416-2127512?_encoding=UTF8&pd_rd_i=B07PD9V78L&pd_rd_r=2ff954d3-e1c2-4600-8700-066330c8b6a7&pd_rd_w=sD6n1&pd_rd_wg=mSrBu&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=AZ3CR29YCHWB14JZ3CYA&psc=1&refRID=AZ3CR29YCHWB14JZ3CYA,https://www.amazon.com//POWMEE-P10-Headphones-Microphone-Adjustable/product-reviews/B08BF971WF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ounces,,POWMEE,,,,,,,,,,,,,,,,,,4.6,,,,,,,,"June 18, 2020",,,,,,,,,,,,,,,B08BF971WF,,,,,,,,,6.27 x 2.91 x 5.65 inches,,,,,,,,,,,,,,,,,,,,,P10,#50 in On-Ear Headphones
12,"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",BOOM BOX,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2KFR2VHVNR5U6&isAmazonFulfilled=1,Bluetooth USB Adapter CSR 4.0 USB Dongle Bluetooth Receiver Transfer Wireless Adapter for Laptop PC…,https://www.amazon.com/ZEXMTE-Bluetooth-Receiver-Transfer-Wireless/dp/B0775YF36R/ref=pd_bxgy_2/144-0762172-9439655?_encoding=UTF8&pd_rd_i=B0775YF36R&pd_rd_r=19ced901-51b9-4498-9b9c-aa7104d2245e&pd_rd_w=Ku6sY&pd_rd_wg=yvKJo&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=FQ3WCWM68V8RV1RFKQQ0&psc=1&refRID=FQ3WCWM68V8RV1RFKQQ0,https://www.amazon.com//Cancelling-Headphones-Bluetooth-Microphone-Comfortable/product-reviews/B019U00D7K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,Noise cancelling headphones,,,,,,,,,,,,,,,,,,,,9.9 ounces,,cowin,1 Lithium Polymer batteries required.,,,,,,,,,,,,,,,,,4.4,,,No,,,,,"December 26, 2015",,,,,,,,,,,,,,,B019U00D7K,,,,,,,,,6.54 x 1.97 x 7.13 inches,,,,,,,,,,,,,,,,,,,,,E7 Active Noise Cancelling,#4 in Over-Ear Headphones
13,"Kids Headphones, Mpow CHE2 Wired Headphones for Girl Boys Kids Teen, Children Headphones with Volume Limit, Foldable Adjustable On-Ear Headphones for School, Travel, Compatible with Phone, Tablet, PC",Topyo Pro,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=ATG2O6TUMZHJW&isAmazonFulfilled=1,"Mpow CH6S Kids Headphones with Microphone Over Ear, On Ear Headphones for Kids with HD Sound Sharing…",https://www.amazon.com/Mpow-Headphones-Over-Ear-Function-Cellphone/dp/B07PD9V78L/ref=pd_bxgy_2/132-5140775-5589601?_encoding=UTF8&pd_rd_i=B07PD9V78L&pd_rd_r=d601bc67-63bc-4574-bfe7-d7e2dc3798b2&pd_rd_w=T4dco&pd_rd_wg=k4APE&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=RK8PTCYX55M0RCCJPAGC&psc=1&refRID=RK8PTCYX55M0RCCJPAGC,https://www.amazon.com//Headphones-Mpow-Adjustable-Compatible-Cellphones/product-reviews/B088F9BZJM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5 ounces,,Mpow,,,,,,,,,,,,,,,,,,4.6,,,,,,,,"June 22, 2020",,,,,,,,,,,,,,,B088F9BZJM,,,,,,,,,6.81 x 3.23 x 4.92 inches,,,,,,,,,,,,,,,,,,,,,BH428A,#7 in On-Ear Headphones
14,"Kurdene Wireless Earbuds,Bluetooth Earbuds with Charging Case Bass Sounds IPX8 Waterproof Sports Headphones with Mic Touch Control 24H Playtime -Black",USXLWBKO,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A12Q9KOUNZURWG&isAmazonFulfilled=1,"Wireless Earbuds, Mpow MDots Bluetooth Headphones w/Punchy Bass Sound, Precise Control Bluetooth…",https://www.amazon.com/Mpow-Bluetooth-Headphones-Waterproof-Earphones/dp/B08KWJ9YND/ref=pd_bxgy_2/136-1681714-9739600?_encoding=UTF8&pd_rd_i=B08KWJ9YND&pd_rd_r=11960880-b65b-4dfa-8c0f-185a4a6a097a&pd_rd_w=4Muqy&pd_rd_wg=XYJby&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=76H3YXCA08DJG0ZXM0QD&psc=1&refRID=76H3YXCA08DJG0ZXM0QD,https://www.amazon.com//Wireless-Bluetooth-Waterproof-Headphones-Android-Black/product-reviews/B085VX9JY7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,Boys,,,,,,,,,,,,,,,,,,,,1.59 ounces,,kurdene,3 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,4.3,,,Yes,,,,,"April 5, 2020",,,,,,,,,,,,,,,B085VX9JY7,,,,,,,,,2.36 x 1.77 x 1.5 inches,,,,,,,,,,,,,,,,,,,,,K-S8,#30 in Earbud & In-Ear Headphones
15,"Mpow Flame Bluetooth Headphones V5.0 IPX7 Waterproof Wireless Headphones,Bass+ HD Stereo Wireless Sport Earbuds, 7-9Hrs Playtime, cVc6.0 Noise Cancelling Mic for Home Workout,Running,Gym Blue Grey",MpowTech,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3C7TPQOPQE22B&isAmazonFulfilled=1,,,https://www.amazon.com//Mpow-Bluetooth-Headphones-Waterproof-Workout-Blue/product-reviews/B07BC64276/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,Bluetooth headphones,,,,,,,,,,,,,,,,,,,,2.82 ounces,,Mpow,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,4.4,,,No,,,,,"April 3, 2018",,,,,,,,,,,,,,,B07BC64276,,,,,,,,,4.06 x 4.06 x 1.81 inches,,,,,,,,,,,,,,,,,,,,,BH088A-US01-D,#95 in Earbud & In-Ear Headphones
16,"Artix CL750 Foldable Noise Isolating On Ear Headphones Wired with Microphone and Volume Control, Stereo Head Phones Corded with Adjustable Headband for Computer, Laptop and Cell Phone (Black/Red)",7thContinent,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1H3J68XZ5X5W7&isAmazonFulfilled=1,,,https://www.amazon.com//Foldable-Isolating-Headphones-Microphone-Adjustable/product-reviews/B087JW59FX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9 ounces,,ARTIX,,,,,,,,,,,,,,,,,,4.4,,,,,,7.24 x 6.77 x 3.43 inches,,"March 14, 2020",,,,,,,,,,,,,,,B087JW59FX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#44 in On-Ear Headphones
17,"PeohZarr On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M Tangle Free Cord, Portable Wired Headphones for Smartphone Tablet Laptop Computer MP3/4",HadinEEon Direct,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A393JJ1Z5FPQ17&isAmazonFulfilled=1,,,https://www.amazon.com//PeohZarr-Headphones-Microphone-Lightweight-Smartphone/product-reviews/B07SHH37M6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8 ounces,,PeohZarr,2 Lithium ion batteries required.,,,,,,,,,,,,,,,,,4.5,,,No,,,,,"April 7, 2019",,,,,,,,,,,,,,,B07SHH37M6,,,,,,,,,5.5 x 3.1 x 2.7 inches,,,,,,,,,,,,,,,,,,,,,WGYP-063,#5 in On-Ear Headphones
18,Panasonic Full-Sized Lightweight Over-The-Ear Headphones with Mic and Long Cord - RP-HT161M (Black),,,,,https://www.amazon.com//Panasonic-Full-Sized-Lightweight-Over-Headphones/product-reviews/B08HBBF6FR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4 ounces,,Panasonic,,,,,,,,,,,,,,,,,,4.3,,,,,,9.45 x 8.78 x 4.37 inches,,"September 2, 2020",,,,,,,,,,,,,,,B08HBBF6FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RP-HT161M,#160 in Over-Ear Headphones
19,"OneOdio Bluetooth Headphones, Studio Over Ear Headphones with Shareport, Foldable, Wired and Wireless Professional Monitor Recording Headphones with Stereo Sound for Electric Drum Piano Guitar Amp",OneOdio Direct US,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3AR3HR83PX1V0&isAmazonFulfilled=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1 pounds,,OneOdio,1 Lithium Polymer batteries required. (included),,,,,,,,,,,,,,,,,4.5,,,,,,9.45 x 7.48 x 5.12 inches,,"January 22, 2021",,,,,,,,,,,,,,,B08TQJSJLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#2,473 in Over-Ear Headphones #6,528 in Earbud & In-Ear Headphones"
