;Unnamed: 0;name;seller;seller_link;freq_bought;freq_bought_link;link_to_all_reviews;power source;optical drive type;brightness rating;battery description;brand name;item model number;language;connectivity technologies;coating;fabric type;tab color;paper weight;batteries required;style;international shipping;graphics card ram size;screen resolution;pre-printed;material type;item thickness;shape;flash memory size;os;package dimensions;backing;additional features;chipset brand;sheet size;is discontinued by manufacturer;ASIN;binding;operating system;item weight;number of usb 3.0 ports;computer memory type;batteries;hardware platform;domestic shipping;memory speed;connectivity technology;date first available;pricing;number of items;standing screen display size;item dimensions  lxwxh;processor count;ram;card description;brand;processor brand;corner/edge style;model number;best sellers rank;voltage;paper finish;number of pieces;rating;product dimensions;release date;usage;average battery life (in hours);max screen resolution;other display features;batteries included?;total recycled content percentage;closure;warranty description;manufacturer recommended age;material;rear webcam resolution;graphics coprocessor;wireless type;national stock number;manufacturer;series;manufacturer part number;item package quantity;included components;part number;is assembly required?;thickness;binding edge;battery cell type;color;hard drive interface;batteries required?;department;number of usb 2.0 ports;size;colour;mfg recommended age;hard drive rotational speed;expansion;cover material
1572;1572;Ergonomic Mouse Pad with Wrist Support Gel Mouse Pad with Wrist Rest, Comfortable Computer Mouse Pad, Pain Relief Mousepad with Non-Slip Rubber Base for Office & Home + Cup Coaster, Chaos Coordinator;JStar;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AY7V1XGCNI7V9&isAmazonFulfilled=1;;;https://www.amazon.com//Ergonomic-Comfortable-Computer-Mousepad-Coordinator/product-reviews/B08NFW2HC9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B08NFW2HC9;;;6.9 ounces;;;;;;;;November 14, 2020;;;;;;;;JStar;;;;#46,225 in Office Products ( See Top 100 in Office Products ) #259 in Wrist Rests;;;;4.4;9.84 x 7.87 x 0.98 inches;;;;;;;;;;;;;;;;Jstar;;JS-X-Wrist-B-10;;;;;;;;Chaos Coordinator;;;;;;;;;;
1573;1573;"Multifunctional Office Desk Pad,35.4"" x 15.7"" Ultra Thin Waterproof PU Leather Mouse Pad, Dual Use Desk Writing Mat for Office/Home (Dark Blue)";FANERTE;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A24JTG4WNHL2N3&isAmazonFulfilled=1;;;;;;;;;;;;;;;;;;;;;;;;;;;15.94 x 2.76 x 2.76 inches;;;;;;B08SGQZ4VT;;;1.14 pounds;;;;;;;;January 9, 2021;;;;;;;;;;;;#51,200 in Office Products ( See Top 100 in Office Products ) #1,210 in Mouse Pads;;;;5.0;;;;;;;;;;;;;;;;;ruifengsheng;;;;;;;;;;;;;;;;;;;;
1574;1574;NICOKEE Butterfly Rectangle Gaming Mousepad The Magical Mystical Purple Butterfly Mouse Pad Mouse Mat for Computer Desk Laptop Office 9.5 X 7.9 Inch Non-Slip Rubber;Abitoryor;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1WUXPCZX8D7NT&isAmazonFulfilled=1;Purple Butterfly Customized Rectangle Mousepad, Mouse Pad;https://www.amazon.com/Butterfly-Customized-Rectangle-Mouse-Pad/dp/B00MILIOKM/ref=pd_bxgy_2/141-7803976-7633959?_encoding=UTF8&pd_rd_i=B00MILIOKM&pd_rd_r=e1ed1afc-7cde-4f6f-b594-7880c2768da9&pd_rd_w=agE1V&pd_rd_wg=OWQsK&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=KSJ3A807ZXJD088WMM54&psc=1&refRID=KSJ3A807ZXJD088WMM54;https://www.amazon.com//Butterfly-Mousepad-Mystical-Rectangle-Computer/product-reviews/B07RXQ6ZJD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;ABIT-MP3BA-10049;;;;;;;;;;;;;Rubber;;Rectangular;;;;;;;;;B07RXQ6ZJD;;;2.96 ounces;;;;;;;;May 21, 2019;;;;;;;;NICOKEE;;;;#104,162 in Office Products ( See Top 100 in Office Products ) #2,839 in Mouse Pads;;;;4.9;9.45 x 7.87 x 0.12 inches;;;;;;;;;;;;;;;;NICOKEE;;ABIT-MP3BA-10049;;;;;;;;M01-049;;;;;;;;;;
1575;1575;Microsoft Wireless Mouse 5000;Stick Price;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=ANU9P4C3SJQYZ&isAmazonFulfilled=1;;;https://www.amazon.com//Microsoft-MGC-00017-Wireless-Mouse-5000/product-reviews/B008XB0JNG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;MGC-00017;;;;;;;;;;;;;;;;;;;;;;;No;B008XB0JNG;;Windows xp, Windows vista, Windows 7;5.4 ounces;;;2 AA batteries required. (included);;;;;August 13, 2012;;;;4.59 x 2.77 x 1.66 inches;;;;Microsoft;;;;#738 in Computer Mice #2,544 in Computer Components;;;;4.5;4.59 x 2.77 x 1.66 inches;;;;;;;;;;;;;;;;Microsoft;;;;;;;;;;Black;;;;;;;;;;
1576;1576;Lovely Kuromi and My Melody Textured Mouse Pad, Non-Slip Mouse Pad for Laptops, Computers and Pcs.40cm X 75cm.;hongshengdajiajuzhizao;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A28K55G8G3AMJP&isAmazonFulfilled=1;ONIKUMA RGB Gaming Mouse Wired, USB Optical Computer Mice with RGB Backlit, 6 Adjustable DPI Up to…;https://www.amazon.com/ONIKUMA-Computer-Adjustable-Ergonomic-Programmable/dp/B08KY7N6Q4/ref=pd_bxgy_2/140-2944252-3506207?_encoding=UTF8&pd_rd_i=B08KY7N6Q4&pd_rd_r=a53fc1b3-c020-4ed4-bbe8-b162dd7b3227&pd_rd_w=wpG75&pd_rd_wg=Qc8X0&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=016B81ATCVT2ZG0P8RQ0&psc=1&refRID=016B81ATCVT2ZG0P8RQ0;https://www.amazon.com//Textured-Non-Slip-Laptops-Computers-Pcs-40cm/product-reviews/B08N4988XM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;No;;;;;;;;;;;15.64 x 11.47 x 1.06 inches;;;;;;B08N4988XM;;;1.52 pounds;;;;;;;;;;;;;;;;;;;;#36,562 in Office Products ( See Top 100 in Office Products ) #809 in Mouse Pads;;;;4.9;;;;;;;;;;;;;;;;;Palglg;;;;;;;;;;;;;Unisex;;;;;;;
1577;1577;Extended Gaming Mouse Pad for World of Warcraft Horde Large Mousepad,Mouse Mat for Gamer,Office & Home (Horde);ByLan;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3KXP015CPQHB8&isAmazonFulfilled=1;SUIBIAN Banner Flags Red Cool Game Art Print Posters for College Dorm Room Decor, 39x59 inch…;https://www.amazon.com/SUIBIAN-Warcraft-Alliance-Banner-Poster/dp/B07ZWV7J4C/ref=pd_bxgy_2/143-4005728-3051238?_encoding=UTF8&pd_rd_i=B07ZWV7J4C&pd_rd_r=8ebc55c0-caf6-47fc-8311-c8e549a3263e&pd_rd_w=zURgQ&pd_rd_wg=WlmCf&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=AC38JP9Q3AMGZBQ1RN4W&psc=1&refRID=AC38JP9Q3AMGZBQ1RN4W;https://www.amazon.com//Extended-Gaming-Warcraft-Mousepad-Office/product-reviews/B08KVSTD9F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;;;;;Lycra;;;;;;;;;;No;B08KVSTD9F;;;12 ounces;;;;;;;;October 8, 2020;;;;;;;;Bylan;;;;#65,135 in Office Products ( See Top 100 in Office Products ) #1,609 in Mouse Pads;;;;4.8;27.56 x 11.81 x 0.1 inches;;;;;;;;;;;;;;;;Bylan;;Bylan-111;;;;;;;;Horde;;;;;27.5x11.8x0.1 inch;;;;;
1578;1578;VESMATITY XXL Extended Mouse Pad Gaming Mouse Pads with Stitched Edges Computer Full Desk Large Mouse Pads Non-Slip Base Desk Mat for Gaming and Office (31.5x11.8x0.12In,Ice and Fire);VesmatityDirect;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AZFAB8USMRSE2&isAmazonFulfilled=1;;;;;;;;;;;;;;;;;;;;;;Rubber;;Rectangular;;;11.8 x 2.75 x 2.75 inches;;;;;;B08N4CQFC6;;;14.1 ounces;;;;;;;;December 25, 2020;;;;;;;;VESMATITY;;;;#48,559 in Office Products ( See Top 100 in Office Products ) #1,144 in Mouse Pads;;;;5.0;;;;;;;;;;;;;;;;;VesmatityDirect;;300007777;;;;;;;;Fist of Ice and Fire;;;;;;;;;;
1579;1579;"Naruto Akatsuki Gaming Anime Mouse Pad (8""x9"") Rubber Non-Slip Waterproof Desk Mat";Verna Christopher;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2V5PSEG0ME1EW&isAmazonFulfilled=1;;;https://www.amazon.com//Naruto-Akatsuki-Gaming-Non-Slip-Waterproof/product-reviews/B08LNHHDF2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;;;;;Rubber;;;;;4.72 x 3.94 x 0.79 inches;;;;;;B08LNHHDF2;;;1.76 ounces;;;;;;;;October 22, 2020;;;;;;;;UNIVEINS;;;;#43,465 in Office Products ( See Top 100 in Office Products ) #1,009 in Mouse Pads;;;;4.7;;;;;;;;;;;;;;;;;UNIVEINS;;NarutoMousePad-#HQA25805350D328066;;;;;;;;White-7;;;;;One Size;;;;;
1580;1580;MCSaite Wireless Numeric Keypad & Mouse Combo - Use One Receiver Wireless Number Pad Keyboard and Mouse for Laptop Desktop;MCSaite;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A183KQE14Y16J5&isAmazonFulfilled=1;Wireless Numeric Keypad, TRELC Mini 2.4G 18 Keys Number Pad, Portable Silent Financial Accounting…;https://www.amazon.com/Wireless-TRELC-Financial-Accounting-Extensions/dp/B07PJMSBLX/ref=pd_bxgy_2/136-3819850-6571018?_encoding=UTF8&pd_rd_i=B07PJMSBLX&pd_rd_r=89299d08-5ab3-496b-89ac-93f23adecf7c&pd_rd_w=pKe5h&pd_rd_wg=Kvu9m&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=6859TDFCSRE36MPXGM6N&psc=1&refRID=6859TDFCSRE36MPXGM6N;https://www.amazon.com//MCSaite-Wireless-Numeric-Keypad-Mouse/product-reviews/B0716VR7R1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;;;;;;;;;;8.27 x 3.94 x 1.77 inches;;;;;No;B0716VR7R1;;;6.7 ounces;;;;;;;;May 1, 2017;;;;;;;;;;;;#572 in Computer Keyboard & Mouse Combos;;;;3.9;;;;;;;;;;;;;;;;;M MC Saite;;;;;;;;;;;;;;;;;;;;
1581;1581;Dikoer Funny Space Goat Meme Mouse Pad for laptops Office Computer Decor,Cute Gaming Mousepad with Design,Non Slip Rubber Mouse mat and be King Sticker;Dikoer;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A16LVQHR66H2M5&isAmazonFulfilled=1;;;;;;;;;;;;;;;;;;;;;;Rubber;;Square;;;;;;;;;B08HRLFSRW;;;1.75 ounces;;;;;;;;September 10, 2020;;;;;;;;Dikoer;;;;#84,379 in Office Products ( See Top 100 in Office Products ) #2,252 in Mouse Pads;;;;4.7;9.4 x 7.9 x 0.07 inches;;;;;;;;;;;;;;;;Dikoer;;Dikeer-Mouse-66;;;;;;;;Funny Space Goat Meme;;;;;;;;;;
1582;1582;Wireless Keyboard and Mouse, Vssoplor Rechargeable 2.4G USB Slim Full-Size Keyboard Mouse Combo with 2 in 1 Nano USB Receiver for Windows XP/Vista/7/8/10 Laptop Desktop Notebook-White and Rose Gold;Duolihui US;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3VVLG7OTU8AIK&isAmazonFulfilled=1;;;https://www.amazon.com//Wireless-Vssoplor-Rechargeable-Full-Size-Notebook-White/product-reviews/B089QZF9BJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;;;;;;;;;;17.52 x 5.2 x 1.46 inches;;;;;;B089QZF9BJ;;;1.48 pounds;;;;;;;;May 21, 2020;;;;;;;;;;;;#184 in Computer Keyboard & Mouse Combos;;;;4.7;;;;;;;;;;;;;;;;;Vssoplor;;;;;;;;;;;;;;;;;;;;
1583;1583;Cmhoo XXXL Gaming Mouse Pad RGB Keyboard Pad Large Glowing Led 35.4x15.7IN 3MM Thick Non-Slip Desk Pad - 90x40 FGhei;youchuandongbu;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2QT0ZX0Q7L299&isAmazonFulfilled=1;Razer DeathAdder Essential Gaming Mouse: 6400 DPI Optical Sensor - 5 Programmable Buttons…;https://www.amazon.com/Razer-DeathAdder-Essential-Gaming-Mouse/dp/B07Y693ND1/ref=pd_bxgy_2/136-8618773-9486101?_encoding=UTF8&pd_rd_i=B07Y693ND1&pd_rd_r=5c07dea8-e440-4a65-8923-2b582f60f3bf&pd_rd_w=BIxDT&pd_rd_wg=5ll2G&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=92PAFTQ1XMW447BDG52M&psc=1&refRID=92PAFTQ1XMW447BDG52M;https://www.amazon.com//Cmhoo-Keyboard-Glowing-35-4x15-7IN-Non-Slip/product-reviews/B07VTT1MNV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;;;;;Rubber;;Rectangular;;;16.38 x 3.7 x 3.62 inches;;;;;;B07VTT1MNV;;;2.2 pounds;;;;;;;;July 31, 2019;;;;;;;;Cmhoo;;;;#103,916 in Office Products ( See Top 100 in Office Products ) #2,832 in Mouse Pads;;;;4.5;;;;;;;;;;;;;;;;;Chengmenghe;;90x40 FGhei;;;;;;;;90x40 FGhei;;;;;Large;;;;;
1584;1584;Keyboard Wrist Rest & Mouse Pad & Mouse Wrist Rest Support, Non-Slip 3-in-1 Keyboard Mouse Pad Set for Computer, Laptop, Home & Office Durable & Comfortable for Easy Typing (Green);Mnchenkj-usa;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2RXMA4MN1438G&isAmazonFulfilled=1;;;https://www.amazon.com//Keyboard-Support-Non-Slip-Computer-Comfortable/product-reviews/B08M2MLYBK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;;;;;;;;;;13.43 x 12.6 x 1.34 inches;;;;;;B08M2MLYBK;;;8.8 ounces;;;;;;;;October 12, 2020;;;;;;;;N N;;;;#38,811 in Office Products ( See Top 100 in Office Products ) #226 in Wrist Rests;;;;4.4;;;;;;;;;;;;;;;;;Mnchenkj;;WR-01;;;;;;;;Green;;;;;;;;;;
1585;1585;Lamgo HxH Hisoka Killua Gon Mousepad Anime Non-Slip Rubber 30x15.8 Inch Mouse Pads/Mouse Mats Case Cover with Designs for Office Home Woman Man (75x40 cm);Lamgo;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2RIYHA9F3E89S&isAmazonFulfilled=1;;;https://www.amazon.com//Lamgo-Mousepad-Non-Slip-30x15-8-Designs/product-reviews/B08HS4K7ZZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;;;;;Polyester;;Rectangular;;;15.87 x 2.48 x 2.01 inches;;;;;;B08HS4K7ZZ;;;1.09 pounds;;;;;;;;September 10, 2020;;;;;;;;Lamgo;;;;#20,070 in Office Products ( See Top 100 in Office Products ) #421 in Mouse Pads;;;;4.5;;;;;;;;;;;;;;;;;Lamgo;;Lamgo-18756;;;;;;;;Hunter X Hunter;;;;;One Size;;;;;
1586;1586;Lovely Wired USB Computer Mouse,7 Colors Backlit,Silent Buttons,3200 DPI,for MacBook,Computer PC,Laptop (D.VA) (Pink);shenzhen jiacai;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A29JWGHST5GOK1&isAmazonFulfilled=1;MOTOSPEED Professional Gaming Mechanical Keyboard RGB Rainbow Backlit 87 Keys Illuminated Computer…;https://www.amazon.com/MOTOSPEED-Professional-Mechanical-Keyboard-Illuminated/dp/B07HFRB2DP/ref=pd_bxgy_2/143-3243467-6624263?_encoding=UTF8&pd_rd_i=B07HFRB2DP&pd_rd_r=fbca213c-9609-4573-92aa-77ad48a11c91&pd_rd_w=1IAFK&pd_rd_wg=2ft1K&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=1W25P8RGHZ14T9V0CP2K&psc=1&refRID=1W25P8RGHZ14T9V0CP2K;https://www.amazon.com//Lovely-Computer-Backlit-Buttons-MacBook/product-reviews/B0828J3LD9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B0828J3LD9;;;5.3 ounces;;;;;;;;December 2, 2019;;;;;;;;;;;;#13,430 in Video Games ( See Top 100 in Video Games ) #591 in PC Gaming Mice;;;;4.5;5.12 x 2.76 x 1.57 inches;;;;;;;;;;;;;;;;Shenzhen Jiacai company;;;;;;;;;;;;;;;;;;;;
1587;1587;Smooffly Gaming Mouse Pad Custom,African Women with Blue Hair Hairstyle Galaxy Background Non-Slip Rubber Mouse Pad Mousepad;Smooffly;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3NF1BS3IGYATX&isAmazonFulfilled=1;Smooffly Gaming Mouse Pad Custom,African Woman Personalized Design Non-Slip Rubber Mousepad;https://www.amazon.com/Smooffly-African-Personalized-Non-Slip-Mousepad/dp/B078WV6PFV/ref=pd_bxgy_2/136-5689632-8189700?_encoding=UTF8&pd_rd_i=B078WV6PFV&pd_rd_r=756d3c66-32a3-4618-84a7-4a4c3c5b5c37&pd_rd_w=2z2dA&pd_rd_wg=yP64d&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=0NPMZ4B0ZGF2S5K8A5AX&psc=1&refRID=0NPMZ4B0ZGF2S5K8A5AX;https://www.amazon.com//Smooffly-Hairstyle-background-Non-Slip-Mousepad/product-reviews/B078ZCJ5XZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;;;;;Rubber;;Square;;;;;;;;;B078ZCJ5XZ;;;2.71 ounces;;;;;;;;January 13, 2018;;;;;;;;Smooffly;;;;#104,233 in Office Products ( See Top 100 in Office Products ) #2,840 in Mouse Pads;;;;4.9;9.45 x 7.87 x 0.12 inches;;;;;;;;;;;;;;;;Smooffly;;Smooffly-SM-12570;;;;;;;;SM-2;;;;;;;;;;
1588;1588;Multi-Device Backlit Bluetooth Keyboard for Mac, MagoFeliz Ultra Slim Rechargeable Wireless Keyboard - 7 Colors Backlit, Easy Switch to 3 Devices, Compatible with Mac, iPad, iPhone, MacBook Pro/Air;jinminghuitech;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AL4U1ZCWGNMB4&isAmazonFulfilled=1;Nulaxy Laptop Stand, Ergonomic Aluminum Laptop Mount Computer Stand, Detachable Laptop Riser…;https://www.amazon.com/Nulaxy-Ergonomic-Aluminum-Detachable-Compatible/dp/B07P54RSPY/ref=pd_bxgy_2/145-5372534-5392238?_encoding=UTF8&pd_rd_i=B07P54RSPY&pd_rd_r=cf58e767-7d5a-4d7a-be9c-0e679f4e9eba&pd_rd_w=CQiSr&pd_rd_wg=CBanp&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=6X1D9W57FWFCCW6NDNB6&psc=1&refRID=6X1D9W57FWFCCW6NDNB6;https://www.amazon.com//Multi-Device-Bluetooth-Keyboard-MagoFeliz-Rechargeable/product-reviews/B08H4LXS9K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;IWG-ZXBT3A;;;;;;;;;;;;;;;;;;;;;;;;B08H4LXS9K;;;1.21 pounds;;;;;;;;September 1, 2020;;;;;;;;;;;;#214 in Computer Keyboards;;;;4.1;16 x 5 x 0.8 inches;;;;;;;;;;;;;;;;MagoFeliz;;;;;;;;;;;;;;;;;;;;
1589;1589;USB Splitter, Andul USB 2.0 Y Splitter Charger Cable 1 Male to 2 Female Power Cord Extension Hub Adapter for Car / Laptop / LED Etc,Navy;andul;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=ALQRM5HLXM36H&isAmazonFulfilled=1;USB 3.0 Hub Splitter - USB Extender 4 Port USB Ultra Slim Data Hub with Individual Power Switch and…;https://www.amazon.com/USB-3-0-Hub-Splitter-Individual/dp/B07FCKTG8L/ref=pd_bxgy_2/132-4880750-1899962?_encoding=UTF8&pd_rd_i=B07FCKTG8L&pd_rd_r=b1bfbefb-4ae0-4d47-9df6-1548793212d0&pd_rd_w=jLmHa&pd_rd_wg=vl6rC&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=13KX18FGJHD91KNYY6BP&psc=1&refRID=13KX18FGJHD91KNYY6BP;https://www.amazon.com//Splitter-Charger-Female-Extension-Adapter/product-reviews/B07S8XC8PK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;8541690012;;;;;;;;;;;;;;;;;;7.4 x 3.8 x 0.7 inches;;;;;;B07S8XC8PK;;;3.2 ounces;;;;;;;;June 6, 2019;;;;;;;;;;;;#81 in USB Cables;;;;4.5;;;;;;;;;;;;;;;;;andul;;;;;;;;;;;;;;;;;;;;
1590;1590;Notebook Cover Mac Book Air Case 13 inch A1369 A1466 Mac Book Air 13 inch Case (Version 2010-2017) Math Geometry Formula Hard Shell with Keyboard Cover Screen Protector Mouse Pad;deng shuang gui;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2XF5UFR9QYPIM&isAmazonFulfilled=1;;;https://www.amazon.com//Notebook-2010-2017-Geometry-Keyboard-Protector/product-reviews/B08MVZ2TYL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;macbookcase-18-20201105;;;;;;;;;;;;;;;;;;12.6 x 9.06 x 0.79 inches;;;;;;B08MVZ2TYL;;;12.3 ounces;;;;;;;;November 6, 2020;;;;;;;;;;;;#14,949 in Laptop Sleeves;;;;5.0;;;;;;;;;;;;;;;;;ALALAL;;;;;;;;;;;;;;;;;;;;
1591;1591;Hosoncovy Waterproof and Dustproof Carrying Case Travel Case Storage Bag Protective Case Organizer Holder with Mouse Holder Bag Keyboard Sleeve for Apple Wireless Bluetooth Keyboard 2 and Mouse;Hosoncovy Technology;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A9MI4ZE52R31O&isAmazonFulfilled=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;B086XF43B1;;;3.94 ounces;;;;;;;;April 21, 2020;;;;;;;;;;;;#6,449 in Tablet Keyboard Cases;;;;4.2;11.22 x 5.51 x 0.2 inches;;;;;;;;;;;;;;;;Hosoncovy;;;;;;;;;;;;;;;;;;;;
1592;1592;Kinan 2 Port VGA KVM Switch Compact USB KVM Switch 2 Ports VGA Cable Support Up to 2048x1536 Resoluton for Computer, PC, Laptop, Desktop, Monitor, Keyboard,Video,Mouse;Shenzhen Kinan Technology Co., Ltd;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2CHZXO6DN74DE&isAmazonFulfilled=1;VicTsing HDMI to VGA Adapter Converter Gold-Plated for PC, Laptop, DVD, Desktop and Other HDMI Input…;https://www.amazon.com/VicTsing-Adapter-Converter-Gold-Plated-Desktop/dp/B016HL4CAY/ref=pd_bxgy_2/146-5659530-0880018?_encoding=UTF8&pd_rd_i=B016HL4CAY&pd_rd_r=5df22b20-0a0e-408a-a286-016ce3261868&pd_rd_w=xRO49&pd_rd_wg=CM0yC&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=RA9T8M0ZS9XTWA0Z7Q0J&psc=1&refRID=RA9T8M0ZS9XTWA0Z7Q0J;https://www.amazon.com//Kinan-2048x1536-Resoluton-Computer-Keyboard/product-reviews/B07DW938JJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;;;;;;;;;;8.86 x 6.14 x 2.2 inches;;;;;No;B07DW938JJ;;;12.1 ounces;;;;;;;;June 20, 2018;;;;;;;;;;;;#609 in KVM Switches;;;;3.7;;;;;;;;;;;;;;;;;Kinan;;;;;;;;;;;;;;;;;;;;
1593;1593;KVM Switch 2 Port,VGA 2 in 1 Out Switch Selector,VGA Video Sharing Adapter Manual Switcher with 4 USB Hub,1920 x 1440 Resolution,for 2PC,Monitor,Printer,Keyboard,Mouse Control;FONGQLONG;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1L0CC1FACMFXH&isAmazonFulfilled=1;;;;;;;;;;;;;;;;;;;;;;;;;;;7.95 x 4.52 x 2.55 inches;;;;;;B08LL7411W;;;14 ounces;;;;;;;;10M 21, 2020;;;;;;;;;;;;#2,230 in KVM Switches;;;;0.0;;;;;;;;;;;;;;;;;FENGQLONG;;;;;;;;;;;;;;;;;;;;
1594;1594;Pasow 2 Pack USB 3.0 Extension Cable SuperSpeed Type A Male to Female Extender Cord (1.5FT);Pasow LLC;https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2FZ0LR2YG7QXI&isAmazonFulfilled=1;Anker 4-Port USB 3.0 Hub, Ultra-Slim Data USB Hub with 2 ft Extended Cable [Charging Not Supported…;https://www.amazon.com/Anker-Extended-MacBook-Surface-Notebook/dp/B07L32B9C2/ref=pd_bxgy_2/145-9062520-9410039?_encoding=UTF8&pd_rd_i=B07L32B9C2&pd_rd_r=887715f5-b3ef-4f2a-87af-65dcd49c20f3&pd_rd_w=OUEqr&pd_rd_wg=ZEZIc&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=Q7PKV8HASHF0CR4ZT6H9&psc=1&refRID=Q7PKV8HASHF0CR4ZT6H9;https://www.amazon.com//Pasow-Extension-SuperSpeed-Female-Extender/product-reviews/B077JM5NF5/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews;;;;;;;;;;;;;;;;;;;;;;;;7.4 x 5.87 x 0.75 inches;;;;;No;B077JM5NF5;;;2.53 ounces;;;;;;;;November 16, 2017;;;;;;;;PASOW;;;;#2,576 in USB Cables;;;;4.7;;;;;;;;;;;;;;;;;Pasow LLC;;;;;;;;;;;;;;;;;;;;
